molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL298641,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,660.7030000000003,-2.9389999999999947,9.0,10.0,3.2365720064370627
CHEMBL1790289,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(C)=O)C(C)C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,686.8290000000003,-0.7314999999999907,8.0,9.0,4.2839966563652006
CHEMBL2372770,CC[C@H](C)[C@H](NC(=O)[C@@H](CC(=O)O)NC(=O)CCC(=O)O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,645.7320000000003,-1.0273999999999923,8.0,9.0,4.119186407719209
CHEMBL1790299,CC[C@H](C)[C@H](NC(=O)CCC(=O)O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,530.6440000000002,0.013100000000004774,6.0,7.0,3.0809219076239263
CHEMBL1790303,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,660.7470000000003,-2.0901999999999923,9.0,10.0,4.1487416512809245
CHEMBL1790286,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,676.7460000000001,-2.3990999999999962,10.0,10.0,4.031517051446065
CHEMBL1790305,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,658.7750000000003,-1.367599999999992,8.0,9.0,3.6989700043360187
CHEMBL1790282,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)C(C)(C)S)C(C)C,inactive,730.8380000000002,-1.1341999999999928,9.0,10.0,3.2006594505464183
CHEMBL1790281,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)O)C(C)C,inactive,686.7160000000002,-2.850299999999998,9.0,10.0,3.0
CHEMBL2369571,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(C)=O)C(C)(C)C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,700.8560000000003,-0.3413999999999908,8.0,9.0,4.698970004336019
CHEMBL1790297,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CSC)C(=O)O)C(C)C,inactive,716.8110000000001,-1.4795999999999936,8.0,10.0,3.795880017344075
CHEMBL1790300,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CS)C(=O)O)C(C)C,inactive,658.7750000000003,-1.367599999999991,8.0,9.0,3.853871964321762
CHEMBL1790295,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)O)C(C)C,inactive,670.7170000000002,-1.8226999999999935,8.0,9.0,3.1487416512809245
CHEMBL2372765,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(C)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](CS)C(=O)O)C(C)C,inactive,702.7840000000002,-1.912799999999993,9.0,10.0,3.4814860601221125
